TC_ID,2018_Total_A,2018_Can_A,2018_LowVeg_A,2018_Barren_A,2018_Water_A,2018_Build_A,2018_Road_A,2018_Shrub_A,2018_Wetlands_A,2018_Imperv_A,2013_Total_A,2013_Can_A,2013_LowVeg_A,2013_Barren_A,2013_Water_A,2013_Build_A,2013_Road_A,2013_Shrub_A,2013_Wetlands_A,2013_Imperv_A,Can_PChange,LowVeg_Pchange,Barren_Pchange,Water_Pchange,Build_Pchange,Road_Pchange,Shrub_Pchange,Wetlands_Pchange,Imperv_Pchange
173,5403,5403,0,0,0,0,0,0,0,0,5403,5403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,899,899,0,0,0,0,0,0,0,0,899,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,902,109,340,0,0,0,201,0,0,252,902,109,340,0,0,0,201,0,0,252,0,0,0,0,0,0,0,0,0
176,39595,23588,16007,0,0,0,0,0,0,0,39595,23488,16107,0,0,0,0,0,0,0,0.425749319,-0.620848078,0,0,0,0,0,0,0
177,1799,1799,0,0,0,0,0,0,0,0,1799,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,896,126,26,0,744,0,0,0,0,0,896,126,26,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,7201,1934,5267,0,0,0,0,0,0,0,7201,1896,5305,0,0,0,0,0,0,0,2.004219409,-0.716305372,0,0,0,0,0,0,0
180,900,900,0,0,0,0,0,0,0,0,900,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,21590,21590,0,0,0,0,0,0,0,0,21590,21590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,3603,1231,2372,0,0,0,0,0,0,0,3603,1231,2372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,895,557,0,0,338,0,0,0,0,0,895,557,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,8102,8102,0,0,0,0,0,0,0,0,8102,8102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,6304,5882,422,0,0,0,0,0,0,0,6304,5882,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,17998,15257,2741,0,0,0,0,0,0,0,17998,15238,2760,0,0,0,0,0,0,0,0.124688279,-0.688405797,0,0,0,0,0,0,0
187,895,790,73,0,0,0,0,0,0,32,895,790,73,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
188,895,718,39,0,138,0,0,0,0,0,895,718,39,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
